root@saltmaster2:~# ./outagemaster.sh 
Sun Feb 16 08:18:36 PM CET 2025 | Script started for SaltMasterB
Sun Feb 16 08:25:00 PM CET 2025 | Random delay of 9 seconds before stopping SaltMasterB
Sun Feb 16 08:25:09 PM CET 2025 | Stopping SaltMasterB (salt-master)
Sun Feb 16 08:27:10 PM CET 2025 | Starting SaltMasterB (salt-master)
Sun Feb 16 08:35:00 PM CET 2025 | Random delay of 11 seconds before stopping SaltMasterB
Sun Feb 16 08:35:11 PM CET 2025 | Stopping SaltMasterB (salt-master)
Sun Feb 16 08:37:11 PM CET 2025 | Starting SaltMasterB (salt-master)
Sun Feb 16 08:45:00 PM CET 2025 | Random delay of 21 seconds before stopping SaltMasterB
Sun Feb 16 08:45:21 PM CET 2025 | Stopping SaltMasterB (salt-master)
Sun Feb 16 08:47:22 PM CET 2025 | Starting SaltMasterB (salt-master)
Sun Feb 16 08:55:00 PM CET 2025 | Random delay of 13 seconds before stopping SaltMasterB
Sun Feb 16 08:55:13 PM CET 2025 | Stopping SaltMasterB (salt-master)
Sun Feb 16 08:57:15 PM CET 2025 | Starting SaltMasterB (salt-master)
Sun Feb 16 09:05:00 PM CET 2025 | Random delay of 26 seconds before stopping SaltMasterB
Sun Feb 16 09:05:26 PM CET 2025 | Stopping SaltMasterB (salt-master)
Sun Feb 16 09:07:26 PM CET 2025 | Starting SaltMasterB (salt-master)
Sun Feb 16 09:15:00 PM CET 2025 | Random delay of 17 seconds before stopping SaltMasterB
Sun Feb 16 09:15:17 PM CET 2025 | Stopping SaltMasterB (salt-master)
Sun Feb 16 09:17:17 PM CET 2025 | Starting SaltMasterB (salt-master)
Sun Feb 16 09:25:00 PM CET 2025 | Random delay of 24 seconds before stopping SaltMasterB
Sun Feb 16 09:25:24 PM CET 2025 | Stopping SaltMasterB (salt-master)
Sun Feb 16 09:27:24 PM CET 2025 | Starting SaltMasterB (salt-master)
Sun Feb 16 09:35:00 PM CET 2025 | Random delay of 15 seconds before stopping SaltMasterB
Sun Feb 16 09:35:15 PM CET 2025 | Stopping SaltMasterB (salt-master)
Sun Feb 16 09:37:15 PM CET 2025 | Starting SaltMasterB (salt-master)
Sun Feb 16 09:45:00 PM CET 2025 | Random delay of 4 seconds before stopping SaltMasterB
Sun Feb 16 09:45:04 PM CET 2025 | Stopping SaltMasterB (salt-master)
Sun Feb 16 09:47:04 PM CET 2025 | Starting SaltMasterB (salt-master)
Sun Feb 16 09:55:00 PM CET 2025 | Random delay of 1 seconds before stopping SaltMasterB
Sun Feb 16 09:55:01 PM CET 2025 | Stopping SaltMasterB (salt-master)
^C
root@saltmaster2:~# ^C
